File,Table,Column,Current Type,Issue,Severity,Recommendation
"/db/schema/wallet/ccpayment-users.ts","ccpaymentUsers","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/wallet/ccpayment-users.ts","ccpaymentUsers","ccpaymentUserId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/wallet/crypto-wallets.ts","cryptoWallets","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/wallet/crypto-wallets.ts","cryptoWallets","ccpaymentUserId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/wallet/deposit-records.ts","depositRecords","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/wallet/deposit-records.ts","depositRecords","recordId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/wallet/deposit-records.ts","depositRecords","txId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/wallet/internal-transfers.ts","internalTransfers","fromUserId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/wallet/internal-transfers.ts","internalTransfers","toUserId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/wallet/internal-transfers.ts","internalTransfers","recordId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/wallet/swap-records.ts","swapRecords","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/wallet/swap-records.ts","swapRecords","recordId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/wallet/webhook-events.ts","webhookEvents","webhookId","varchar","ID column should be UUID with FK reference","high","Change to: webhookId: uuid('webhookId').references(() => [targetTable].id)"
"/db/schema/wallet/webhook-events.ts","webhookEvents","webhookId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/wallet/webhook-events.ts","webhookEvents","relatedRecordId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/wallet/withdrawal-records.ts","withdrawalRecords","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/wallet/withdrawal-records.ts","withdrawalRecords","recordId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/wallet/withdrawal-records.ts","withdrawalRecords","txId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
